Lottery Number,Project Name,PHN,Street Name,Boro,NC/Pres,Oversight Agency,Unit Size,Rent,Number of Units,Eligible Household Size,income_min1,income_max1,hh_size2,income_min2,income_max2,hh_size3,income_min3,income_max3,hh_size4,income_min4,income_max4,hh_size5,income_min5,income_max5,hh_size6,income_min6,income_max6,Total Application Count,OPEN APPLICATION PERIOD START,open_year,Project Close,Open Market units
95,Elliot J Hobbs Gardens,482,FRANKLIN AVENUE,3,New Construction,HDC,1,1997,11,1,70183,117600,2,70183,117600,,,,,,,,,,,,,51124,5/22/14,2014,3/28/16,
95,Elliot J Hobbs Gardens,482,FRANKLIN AVENUE,3,New Construction,HDC,2,648,1,2,24000,26880,3,24000,30240,4,24000,33560,,,,,,,,,,51124,5/22/14,2014,3/28/16,
95,Elliot J Hobbs Gardens,482,FRANKLIN AVENUE,3,New Construction,HDC,2,835,8,2,30412,33600,3,30412,37800,4,30412,41950,,,,,,,,,,51124,5/22/14,2014,3/28/16,
95,Elliot J Hobbs Gardens,482,FRANKLIN AVENUE,3,New Construction,HDC,2,2405,33,1,84240,117600,2,84240,132300,3,84240,146825,4,84240,146825,,,,,,,51124,5/22/14,2014,3/28/16,23
97,3825 and 3827 Third Avenue,3825,3 AVENUE,2,New Construction,HPD,1,891,2,1,32400,40320,2,32400,40320,,,,,,,,,,,,,24331,5/19/14,2014,2/5/18,
102,1690 Nelson Ave,1690,NELSON AVENUE,2,New Construction,HPD,1,1274,3,1,50960,53700,2,50960,53700,,,,,,,,,,,,,19627,8/14/14,2014,7/27/15,
102,1690 Nelson Ave,1690,NELSON AVENUE,2,New Construction,HPD,2,1434,4,2,57360,67100,3,57360,67100,4,57360,67100,,,,,,,,,,19627,8/14/14,2014,7/27/15,
107,2311 Tiebout Avenue,2311,TIEBOUT AVENUE,2,New Construction,HPD,1,533,2,1,18274,23520,2,18274,26880,,,,,,,,,,,,,53082,9/8/14,2014,4/1/16,
107,2311 Tiebout Avenue,2311,TIEBOUT AVENUE,2,New Construction,HPD,1,845,6,1,28971,35280,2,28971,40320,,,,,,,,,,,,,53082,9/8/14,2014,4/1/16,
107,2311 Tiebout Avenue,2311,TIEBOUT AVENUE,2,New Construction,HPD,2,651,2,2,22320,26880,3,22320,30240,4,22320,33560,,,,,,,,,,53082,9/8/14,2014,4/1/16,
